pokemon,usage,raw_usage,real_usage,total_battles
Silvally-Fairy,0.0003444,1078.0,0.0007709785921129891,1398223.0
Articuno,0.0018055,5602.0,0.0040065139823905055,1398223.0
Togetic,0.0002771,855.0,0.0006114904417964803,1398223.0
Palossand,0.0023408,7122.0,0.0050936081011398035,1398223.0
Quagsire,0.0159317,48926.0,0.034991557140742216,1398223.0
Gyarados,0.0195752,59527.0,0.042573323425519394,1398223.0
Heatran,0.1594924,473973.0,0.33898240838550076,1398223.0
Pangoro,0.001822,5564.0,0.003979336629421773,1398223.0
Regieleki,0.0710319,215518.0,0.1541370725556653,1398223.0
Lycanroc,0.001493,4628.0,0.003309915514191942,1398223.0
Whiscash,0.0002796,865.0,0.0006186423767882519,1398223.0
Onix,0.0002961,975.0,0.0006973136616977406,1398223.0
Slowking,0.0548839,162338.0,0.11610308226942341,1398223.0
Lopunny,0.0020272,6247.0,0.00446781378935978,1398223.0
Charjabug,0.0001892,583.0,0.00041695781002029,1398223.0
Hawlucha,0.0735469,219287.0,0.15683263685406404,1398223.0
Braviary,0.0020565,6397.0,0.004575092814236356,1398223.0
Vanilluxe,0.0025354,7689.0,0.005499122815173259,1398223.0
Comfey,0.0043716,13154.0,0.009407655288176492,1398223.0
Grimmsnarl,0.0246792,74305.0,0.05314245295635961,1398223.0
Hattrem,0.0001545,494.0,0.0003533055885935219,1398223.0
Rotom-Frost,0.0005553,1708.0,0.0012215504965946062,1398223.0
Golbat,0.0003061,909.0,0.0006501108907520474,1398223.0
Gengar,0.0400244,122452.0,0.08757687436124281,1398223.0
Primarina,0.0120925,36584.0,0.026164638973897585,1398223.0
Silvally-Poison,0.0001273,379.0,0.0002710583361881474,1398223.0
Tapu Lele,0.0799318,238749.0,0.17075173273505012,1398223.0
Rotom-Fan,0.000305,949.0,0.0006787186307191342,1398223.0
Crustle,0.0010156,3195.0,0.0022850432298710576,1398223.0
Alcremie,0.0007856,2476.0,0.0017708191039626725,1398223.0
Gigalith,0.0026859,8186.0,0.0058545739842643125,1398223.0
Volcanion,0.0101954,30824.0,0.022045124418637086,1398223.0
Whimsicott,0.006657,20724.0,0.014821670076947669,1398223.0
Registeel,0.003582,10972.0,0.007847103072971907,1398223.0
Xatu,0.0032227,9918.0,0.007093289124839171,1398223.0
Nihilego,0.0105137,31772.0,0.02272312785585704,1398223.0
Silvally,0.000977,2995.0,0.0021420045300356238,1398223.0
Shuckle,0.0169726,51680.0,0.03696120003747614,1398223.0
Orbeetle,0.0015623,4822.0,0.003448663053032313,1398223.0
Seaking,0.0005117,1598.0,0.0011428792116851174,1398223.0
Silvally-Electric,0.0001252,381.0,0.0002724887231865017,1398223.0
Silvally-Grass,0.0002121,645.0,0.0004612998069692746,1398223.0
Clawitzer,0.0026863,8066.0,0.0057687507643630525,1398223.0
Coalossal,0.0015684,4844.0,0.003464397310014211,1398223.0
Malamar,0.0040855,12814.0,0.009164489498456255,1398223.0
Dugtrio-Alola,0.0005031,1541.0,0.0011021131822320188,1398223.0
Entei,0.0040877,12185.0,0.008714632787473815,1398223.0
Beheeyem,0.0002775,852.0,0.0006093448612989488,1398223.0
Dunsparce,0.0004924,1544.0,0.0011042587627295502,1398223.0
Riolu,0.0004212,1697.0,0.0012136833681036573,1398223.0
Dusclops,0.0028833,8935.0,0.006390253915148013,1398223.0
Tsareena,0.0025872,7832.0,0.005601395485555594,1398223.0
Drednaw,0.0009759,2966.0,0.002121263918559486,1398223.0
Porygon-Z,0.0059114,17964.0,0.012847736019218679,1398223.0
Mandibuzz,0.0688949,205185.0,0.1467469781286676,1398223.0
Volcarona,0.1274314,381177.0,0.27261531243585607,1398223.0
Raichu-Alola,0.006323,19252.0,0.013768905246158874,1398223.0
Swampert,0.0733474,219661.0,0.15710011922275632,1398223.0
Corsola,0.0002507,766.0,0.0005478382203697121,1398223.0
Stoutland,0.0010345,3158.0,0.0022585810704015023,1398223.0
Uxie,0.0026316,7987.0,0.005712250477928056,1398223.0
Regirock,0.0021842,6708.0,0.004797517992480456,1398223.0
Drifblim,0.0016188,5101.0,0.0036482020393027435,1398223.0
Hitmonlee,0.0035366,10841.0,0.007753412724579699,1398223.0
Mimikyu,0.0154442,47507.0,0.03397669756540981,1398223.0
Duraludon,0.0019035,5923.0,0.0042360910956263775,1398223.0
Raichu,0.0014726,4729.0,0.0033821500576088365,1398223.0
Musharna,0.0001906,601.0,0.0004298312930054791,1398223.0
Blaziken,0.0496058,150985.0,0.107983490473265,1398223.0
Weezing-Galar,0.0049205,14928.0,0.010676408555716792,1398223.0
Heatmor,0.0003755,1177.0,0.000841782748531529,1398223.0
Farfetch'd,0.0002167,673.0,0.0004813252249462353,1398223.0
Slurpuff,0.0088155,26746.0,0.019128565328992587,1398223.0
Farfetch'd-Galar,0.0001248,410.0,0.00029322933466263966,1398223.0
Ferrothorn,0.1599634,481771.0,0.3445594872920843,1398223.0
Eldegoss,0.0013446,4002.0,0.0028622043837070337,1398223.0
Zapdos-Galar,0.0397773,118286.0,0.08459737824367071,1398223.0
Milotic,0.0117767,35970.0,0.0257255101654028,1398223.0
Aerodactyl,0.0036815,11304.0,0.008084547314698728,1398223.0
Marowak-Alola,0.011648,35046.0,0.025064671372163096,1398223.0
Toxapex,0.1042791,315303.0,0.2255026558710592,1398223.0
Dhelmise,0.0026108,7898.0,0.0056485982565012876,1398223.0
Mr. Rime,0.001031,3159.0,0.0022592962639006796,1398223.0
Aurorus,0.0053983,16266.0,0.011633337457615845,1398223.0
Mantine,0.0038928,11710.0,0.00837491587536466,1398223.0
Regidrago,0.0046176,14227.0,0.010175057912793595,1398223.0
Doublade,0.0015716,4866.0,0.0034801315669961085,1398223.0
Leafeon,0.0022167,6848.0,0.0048976450823652595,1398223.0
Marshtomp,0.0002056,647.0,0.0004627301939676289,1398223.0
Arcanine,0.0093236,28881.0,0.020655503449735844,1398223.0
Hippopotas,0.0001116,567.0,0.0004055147140334553,1398223.0
Noctowl,0.0011211,3546.0,0.0025360761480822443,1398223.0
Cofagrigus,0.00306,9167.0,0.006556178806957116,1398223.0
Sandslash,0.0007134,2302.0,0.001646375435105845,1398223.0
Magnezone,0.055312,164886.0,0.11792539530532684,1398223.0
Rhyperior,0.0084586,25356.0,0.01813444636513632,1398223.0
Pinsir,0.0004538,1438.0,0.0010284482518167703,1398223.0
Incineroar,0.0120027,36996.0,0.026459298695558575,1398223.0
Meowstic,0.0017894,5397.0,0.0038598993150591857,1398223.0
